,,,,,Score,,,,Batting Stats,,,,,,,,,,,,,,,,,,,,,,,,,,Opp Starter,,
Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc
152,152,9/17/2025,,TOR,W,2,1,9,33,30,2,8,4,0,0,2,0,0,3,6,0.251,0.313,0.403,0.716,12,0,0,0,0,0,1,0.333,7,10,Kevin Gausman,R,60
153,153,9/18/2025,,TOR,W,4,0,9,36,33,4,11,2,0,1,4,1,1,2,6,0.252,0.314,0.403,0.717,16,1,1,0,0,0,0,0.385,8,10,Chris Bassitt,R,36
154,154,9/19/2025,,BOS,L,7,11,9,40,35,7,8,1,0,3,7,0,0,5,13,0.252,0.314,0.404,0.718,18,1,0,0,0,1,0,0.263,6,10,Garrett Crochet,L,58
155,155,9/20/2025,,BOS,L,3,6,9,37,33,3,7,2,0,0,3,1,1,4,7,0.251,0.314,0.403,0.717,9,0,0,0,0,0,0,0.269,7,9,Kyle Harrison,L,63
156,156,9/21/2025,,BOS,W,7,3,9,36,32,7,9,1,0,1,6,1,0,3,9,0.252,0.314,0.403,0.717,13,1,0,0,1,0,0,0.348,5,10,Connelly Early,L,48
157,157,9/23/2025,@,BAL,L,0,6,9,32,30,0,2,0,0,0,0,0,0,1,6,0.25,0.313,0.401,0.714,2,0,1,0,0,1,0,0.083,5,12,Dean Kremer,R,75
158,158,9/24/2025,@,BAL,W,6,2,9,38,37,6,11,4,0,2,5,1,0,1,8,0.251,0.313,0.402,0.715,21,1,0,0,0,0,0,0.333,5,9,Tyler Wells,R,39
159,159,9/25/2025,@,BAL,L,5,6,9,41,38,5,15,2,0,0,5,1,0,2,9,0.252,0.313,0.403,0.716,17,2,0,0,1,0,0,0.5,9,11,Cade Povich,L,31
160,160,9/26/2025,@,TOR,L,2,4,9,38,33,2,6,0,0,2,2,1,0,5,8,0.251,0.313,0.402,0.716,12,0,0,0,0,0,0,0.174,9,12,Shane Bieber,R,50
161,161,9/27/2025,@,TOR,L,1,5,9,37,33,1,7,1,0,1,1,0,0,4,12,0.251,0.313,0.402,0.715,11,1,0,0,0,0,0,0.3,9,10,Trey Yesavage,R,60
162,162,9/28/2025,@,TOR,L,4,13,9,39,35,4,9,0,0,0,4,3,0,4,14,0.251,0.313,0.401,0.714,9,1,0,0,0,0,0,0.429,8,9,Kevin Gausman,R,32
,,,,,77-85,714,683,1433,6045,5470,714,1374,242,16,182,680,194,48,468,1397,0.251,0.313,0.401,0.714,2194,109,46,16,43,36,10,0.303,1042,,,,
